date,vendor_id,rate,id
23/08/2019,9,0.07,207
24/08/2019,1,0.28,208
24/08/2019,2,0.11,209
24/08/2019,3,0.29,210
24/08/2019,4,0.19,211
24/08/2019,5,0.09,212
24/08/2019,6,0.28,213
24/08/2019,7,0.26,214
24/08/2019,8,0.22,215
24/08/2019,9,0.06,216
25/08/2019,1,0.2,217
25/08/2019,2,0.19,218
25/08/2019,3,0.23,219
25/08/2019,4,0.29,220
25/08/2019,5,0.19,221
25/08/2019,6,0.13,222
25/08/2019,7,0.16,223
25/08/2019,8,0.28,224
25/08/2019,9,0.07,225
26/08/2019,1,0.07,226
26/08/2019,2,0.21,227
26/08/2019,3,0.13,228
26/08/2019,4,0.2,229
26/08/2019,5,0.2,230
26/08/2019,6,0.24,231
26/08/2019,7,0.19,232
26/08/2019,8,0.16,233
26/08/2019,9,0.23,234
27/08/2019,1,0.07,235
27/08/2019,2,0.3,236
27/08/2019,3,0.15,237
27/08/2019,4,0.08,238
27/08/2019,5,0.16,239
27/08/2019,6,0.2,240
27/08/2019,7,0.1,241
27/08/2019,8,0.05,242
27/08/2019,9,0.1,243
28/08/2019,1,0.13,244
28/08/2019,2,0.16,245
28/08/2019,3,0.24,246
28/08/2019,4,0.17,247
28/08/2019,5,0.19,248
28/08/2019,6,0.09,249
28/08/2019,7,0.15,250
28/08/2019,8,0.26,251
28/08/2019,9,0.18,252
29/08/2019,1,0.19,253
29/08/2019,2,0.28,254
29/08/2019,3,0.24,255
29/08/2019,4,0.15,256
29/08/2019,5,0.3,257
29/08/2019,6,0.09,258
29/08/2019,7,0.07,259
29/08/2019,8,0.08,260
29/08/2019,9,0.13,261
30/08/2019,1,0.16,262
30/08/2019,2,0.1,263
30/08/2019,3,0.27,264
30/08/2019,4,0.22,265
30/08/2019,5,0.26,266
30/08/2019,6,0.19,267
30/08/2019,7,0.24,268
30/08/2019,8,0.3,269
30/08/2019,9,0.3,270
31/08/2019,1,0.16,271
31/08/2019,2,0.1,272
31/08/2019,3,0.07,273
31/08/2019,4,0.14,274
31/08/2019,5,0.14,275
31/08/2019,6,0.19,276
31/08/2019,7,0.2,277
31/08/2019,8,0.29,278
31/08/2019,9,0.08,279
01/09/2019,1,0.26,280
01/09/2019,2,0.11,281
01/09/2019,3,0.14,282
01/09/2019,4,0.2,283
01/09/2019,5,0.16,284
01/09/2019,6,0.21,285
01/09/2019,7,0.09,286
01/09/2019,8,0.16,287
01/09/2019,9,0.19,288
02/09/2019,1,0.26,289
02/09/2019,2,0.07,290
02/09/2019,3,0.25,291
02/09/2019,4,0.21,292
02/09/2019,5,0.25,293
02/09/2019,6,0.12,294
02/09/2019,7,0.05,295
02/09/2019,8,0.1,296
02/09/2019,9,0.11,297
03/09/2019,1,0.23,298
03/09/2019,2,0.18,299
03/09/2019,3,0.14,300
03/09/2019,4,0.26,301
03/09/2019,5,0.26,302
03/09/2019,6,0.1,303
03/09/2019,7,0.17,304
03/09/2019,8,0.29,305
03/09/2019,9,0.22,306
04/09/2019,1,0.27,307
04/09/2019,2,0.2,308
04/09/2019,3,0.26,309
04/09/2019,4,0.06,310
04/09/2019,5,0.29,311
04/09/2019,6,0.13,312
04/09/2019,7,0.12,313
04/09/2019,8,0.15,314
04/09/2019,9,0.1,315
05/09/2019,1,0.06,316
05/09/2019,2,0.09,317
05/09/2019,3,0.24,318
05/09/2019,4,0.26,319
05/09/2019,5,0.29,320
05/09/2019,6,0.15,321
05/09/2019,7,0.09,322
05/09/2019,8,0.19,323
05/09/2019,9,0.21,324
06/09/2019,1,0.21,325
06/09/2019,2,0.05,326
06/09/2019,3,0.27,327
06/09/2019,4,0.05,328
06/09/2019,5,0.09,329
06/09/2019,6,0.19,330
06/09/2019,7,0.23,331
06/09/2019,8,0.17,332
06/09/2019,9,0.07,333
07/09/2019,1,0.2,334
07/09/2019,2,0.13,335
07/09/2019,3,0.18,336
07/09/2019,4,0.21,337
07/09/2019,5,0.09,338
07/09/2019,6,0.05,339
07/09/2019,7,0.26,340
07/09/2019,8,0.29,341
07/09/2019,9,0.06,342
08/09/2019,1,0.25,343
08/09/2019,2,0.26,344
08/09/2019,3,0.28,345
08/09/2019,4,0.3,346
08/09/2019,5,0.17,347
08/09/2019,6,0.21,348
08/09/2019,7,0.15,349
08/09/2019,8,0.21,350
08/09/2019,9,0.16,351
09/09/2019,1,0.25,352
09/09/2019,2,0.22,353
09/09/2019,3,0.07,354
09/09/2019,4,0.19,355
09/09/2019,5,0.22,356
09/09/2019,6,0.07,357
09/09/2019,7,0.24,358
09/09/2019,8,0.16,359
09/09/2019,9,0.07,360
10/09/2019,1,0.05,361
10/09/2019,2,0.14,362
10/09/2019,3,0.07,363
10/09/2019,4,0.09,364
10/09/2019,5,0.27,365
10/09/2019,6,0.24,366
10/09/2019,7,0.18,367
10/09/2019,8,0.21,368
10/09/2019,9,0.17,369
11/09/2019,1,0.22,370
11/09/2019,2,0.08,371
11/09/2019,3,0.17,372
11/09/2019,4,0.09,373
11/09/2019,5,0.13,374
11/09/2019,6,0.14,375
11/09/2019,7,0.24,376
11/09/2019,8,0.28,377
11/09/2019,9,0.24,378
12/09/2019,1,0.05,379
12/09/2019,2,0.13,380
12/09/2019,3,0.21,381
12/09/2019,4,0.16,382
12/09/2019,5,0.14,383
12/09/2019,6,0.14,384
12/09/2019,7,0.13,385
12/09/2019,8,0.14,386
12/09/2019,9,0.21,387
13/09/2019,1,0.07,388
13/09/2019,2,0.2,389
13/09/2019,3,0.1,390
13/09/2019,4,0.14,391
13/09/2019,5,0.21,392
13/09/2019,6,0.19,393
13/09/2019,7,0.06,394
13/09/2019,8,0.12,395
13/09/2019,9,0.09,396
14/09/2019,1,0.08,397
14/09/2019,2,0.08,398
14/09/2019,3,0.27,399
14/09/2019,4,0.24,400
14/09/2019,5,0.15,401
14/09/2019,6,0.3,402
14/09/2019,7,0.3,403
14/09/2019,8,0.1,404
14/09/2019,9,0.15,405
15/09/2019,1,0.27,406
15/09/2019,2,0.19,407
15/09/2019,3,0.12,408
15/09/2019,4,0.21,409
15/09/2019,5,0.3,410
15/09/2019,6,0.09,411
15/09/2019,7,0.27,412
15/09/2019,8,0.29,413
15/09/2019,9,0.28,414
16/09/2019,1,0.25,415
16/09/2019,2,0.25,416
16/09/2019,3,0.2,417
16/09/2019,4,0.25,418
16/09/2019,5,0.08,419
16/09/2019,6,0.08,420
16/09/2019,7,0.3,421
16/09/2019,8,0.08,422
16/09/2019,9,0.28,423
17/09/2019,1,0.29,424
17/09/2019,2,0.27,425
17/09/2019,3,0.19,426
17/09/2019,4,0.13,427
17/09/2019,5,0.23,428
17/09/2019,6,0.24,429
17/09/2019,7,0.23,430
17/09/2019,8,0.1,431
17/09/2019,9,0.08,432
18/09/2019,1,0.23,433
18/09/2019,2,0.24,434
18/09/2019,3,0.2,435
18/09/2019,4,0.06,436
18/09/2019,5,0.23,437
18/09/2019,6,0.22,438
18/09/2019,7,0.08,439
18/09/2019,8,0.28,440
18/09/2019,9,0.25,441
19/09/2019,1,0.12,442
19/09/2019,2,0.14,443
19/09/2019,3,0.12,444
19/09/2019,4,0.05,445
19/09/2019,5,0.29,446
19/09/2019,6,0.28,447
19/09/2019,7,0.11,448
19/09/2019,8,0.14,449
19/09/2019,9,0.07,450
20/09/2019,1,0.2,451
20/09/2019,2,0.07,452
20/09/2019,3,0.09,453
20/09/2019,4,0.1,454
20/09/2019,5,0.1,455
20/09/2019,6,0.08,456
20/09/2019,7,0.27,457
20/09/2019,8,0.21,458
20/09/2019,9,0.07,459
21/09/2019,1,0.2,460
21/09/2019,2,0.06,461
21/09/2019,3,0.15,462
21/09/2019,4,0.13,463
21/09/2019,5,0.23,464
21/09/2019,6,0.23,465
21/09/2019,7,0.24,466
21/09/2019,8,0.18,467
21/09/2019,9,0.28,468
22/09/2019,1,0.11,469
22/09/2019,2,0.15,470
22/09/2019,3,0.14,471
22/09/2019,4,0.12,472
22/09/2019,5,0.24,473
22/09/2019,6,0.27,474
22/09/2019,7,0.27,475
22/09/2019,8,0.06,476
22/09/2019,9,0.14,477
23/09/2019,1,0.17,478
23/09/2019,2,0.29,479
23/09/2019,3,0.24,480
23/09/2019,4,0.15,481
23/09/2019,5,0.08,482
23/09/2019,6,0.24,483
23/09/2019,7,0.27,484
23/09/2019,8,0.08,485
23/09/2019,9,0.11,486
24/09/2019,1,0.21,487
24/09/2019,2,0.2,488
24/09/2019,3,0.15,489
24/09/2019,4,0.15,490
24/09/2019,5,0.09,491
24/09/2019,6,0.29,492
24/09/2019,7,0.19,493
24/09/2019,8,0.16,494
24/09/2019,9,0.24,495
25/09/2019,1,0.13,496
25/09/2019,2,0.27,497
25/09/2019,3,0.26,498
25/09/2019,4,0.19,499
25/09/2019,5,0.3,500
25/09/2019,6,0.05,501
25/09/2019,7,0.3,502
25/09/2019,8,0.1,503
25/09/2019,9,0.18,504
26/09/2019,1,0.22,505
26/09/2019,2,0.18,506
26/09/2019,3,0.15,507
26/09/2019,4,0.16,508
26/09/2019,5,0.09,509
26/09/2019,6,0.17,510
26/09/2019,7,0.14,511
26/09/2019,8,0.2,512
26/09/2019,9,0.21,513
27/09/2019,1,0.1,514
27/09/2019,2,0.08,515
27/09/2019,3,0.06,516
27/09/2019,4,0.21,517
27/09/2019,5,0.22,518
27/09/2019,6,0.06,519
27/09/2019,7,0.08,520
27/09/2019,8,0.16,521
27/09/2019,9,0.08,522
28/09/2019,1,0.17,523
28/09/2019,2,0.2,524
28/09/2019,3,0.21,525
28/09/2019,4,0.25,526
28/09/2019,5,0.19,527
28/09/2019,6,0.28,528
28/09/2019,7,0.06,529
28/09/2019,8,0.22,530
28/09/2019,9,0.3,531
29/09/2019,1,0.28,532
29/09/2019,2,0.19,533
29/09/2019,3,0.16,534
29/09/2019,4,0.29,535
29/09/2019,5,0.24,536
29/09/2019,6,0.11,537
29/09/2019,7,0.06,538
29/09/2019,8,0.23,539
29/09/2019,9,0.21,540
